;Canton;University
BL;1;47.466644, 7.763934
SZ;1;47.050368, 8.795503
SO;1;47.323341, 7.639058
SH;1;47.732532, 8.568637
JU;1;47.353214, 7.184175
ZG;1;47.159017, 8.566476
AG;2;47.427226, 8.228482
TG;2;47.554679, 9.101016
FR;2;46.717269, 7.115233
NE;3;47.032963, 6.827372
GE;3;46.315168, 6.140655
BS;3;47.566667, 7.6
VD;4;46.611300, 6.554878
LU;4;47.069066, 8.121608
SG;5;47.210332, 9.275887
GR;5;46.677852, 9.708836
BE;6;46.941465, 7.586991
TI;6;46.299745, 8.861458
VS;6;46.147974, 7.579864
ZH;9;47.423125, 8.689214
